City,Rank,Sunshine,WaterCost,Obesity,YLE,Pollution,Hours_worked,Happiness_levels,Outdoor_activities,GymMembership
Amsterdam,1.00,1858.00,£1.92,20.40%,81.20,30.93,1434,7.44,422.00,£34.90
Sydney,2.00,2636.00,£1.48,29.00%,82.10,26.86,1712,7.22,406.00,£41.66
Vienna,3.00,1884.00,£1.94,20.10%,81.00,17.33,1501,7.29,132.00,£25.74
Stockholm,4.00,1821.00,£1.72,20.60%,81.80,19.63,1452,7.35,129.00,£37.31
Copenhagen,5.00,1630.00,£2.19,19.70%,79.80,21.24,1380,7.64,154.00,£32.53
Helsinki,6.00,1662.00,£1.60,22.20%,80.40,13.08,1540,7.80,113.00,£35.23
Fukuoka,7.00,2769.00,£0.78,4.30%,83.20,-,1644,5.87,35.00,£55.87
Berlin,8.00,1626.00,£1.55,22.30%,80.60,39.41,1386,7.07,254.00,£26.11
Barcelona,9.00,2591.00,£1.19,23.80%,82.20,65.19,1686,6.40,585.00,£37.80
Vancouver,10.00,1938.00,£1.08,29.40%,81.70,24.26,1670,7.23,218.00,£31.04
Melbourne,11.00,2363.00,£1.57,29.00%,82.10,25.90,1712,7.22,243.00,£36.89
Beijing,12.00,2671.00,£0.26,6.20%,75.40,85.43,-,5.12,223.00,£38.62
Bangkok,13.00,2624.00,£0.22,10.00%,74.10,76.64,-,5.99,377.00,£50.03
Buenos Aires,14.00,2525.00,£0.57,28.30%,75.90,52.64,-,5.97,246.00,£22.45
Toronto,15.00,2066.00,£1.09,29.40%,81.70,37.83,1670,7.23,174.00,£32.64
Madrid,16.00,2769.00,£1.30,23.80%,82.20,52.68,1686,6.40,216.00,£34.54
Jakarta,17.00,2983.00,£0.21,6.90%,68.50,84.39,-,5.28,114.00,£29.94
Seoul,18.00,2066.00,£0.59,4.70%,81.30,57.82,1967,5.87,144.00,£43.03
Frankfurt,19.00,1662.00,£1.95,22.30%,80.60,37.78,1386,7.07,23.00,£39.01
Geneva,20.00,-,£2.62,19.50%,82.60,27.25,1557,7.56,44.00,£70.00
Tel Aviv,21.00,3311.00,£1.63,26.10%,81.90,47.28,1898,7.12,139.00,£58.31
Istanbul,22.00,2218.00,£0.15,32.10%,74.70,69.49,1832,5.13,419.00,£16.97
Cairo,23.00,3542.00,£0.16,32.00%,70.70,91.74,-,4.15,323.00,£23.25
Taipei,24.00,1405.00,£0.57,6.20%,75.40,49.32,-,5.12,134.00,£34.76
Los Angeles,25.00,3254.00,£1.52,36.20%,78.80,66.07,1779,6.94,223.00,£32.00
Mumbai,26.00,2584.00,£0.15,3.90%,67.30,82.84,-,3.57,187.00,£19.54
Boston,27.00,2634.00,£1.39,36.20%,78.80,27.03,1779,6.94,88.00,£46.27
Dublin,28.00,1453.00,£1.40,25.30%,80.50,40.07,1772,7.09,159.00,£37.35
Tokyo,29.00,1877.00,£0.76,4.30%,83.20,42.84,1644,5.87,387.00,£70.82
Chicago,30.00,2508.00,£1.20,36.20%,78.80,43.33,1779,6.94,171.00,£41.14
Hong Kong,31.00,1836.00,£0.75,6.20%,75.40,67.46,-,5.51,277.00,£57.95
Shanghai,32.00,1776.00,£0.29,6.20%,75.40,77.40,-,5.12,108.00,£44.68
Brussels,33.00,1546.00,£2.11,22.10%,80.40,62.67,1583,6.86,55.00,£25.34
San Francisco,34.00,3062.00,£1.60,36.20%,78.80,47.36,1779,6.94,242.00,£65.13
Paris,35.00,1662.00,£1.95,21.60%,81.80,65.10,1505,6.66,331.00,£35.93
Sao Paulo,36.00,2003.00,£0.44,22.10%,73.90,79.78,-,6.37,158.00,£16.07
Zurich,37.00,1566.00,£3.20,19.50%,82.60,17.31,1557,7.56,69.00,£73.11
London,38.00,1633.00,£1.16,27.80%,80.40,58.91,1538,7.16,433.00,£42.71
Johannesburg,39.00,3124.00,£0.59,28.30%,56.30,61.83,-,4.81,194.00,£24.28
Milan,40.00,1915.00,£1.15,19.90%,82.70,67.19,1718,6.38,110.00,£53.49
"Washington, D.C.",41.00,2528.00,£1.45,36.20%,78.80,39.18,1779,6.94,83.00,£65.99
New York,42.00,2535.00,£1.32,36.20%,78.80,57.36,1779,6.94,359.00,£64.66
Moscow,43.00,1901.00,£0.41,23.10%,69.50,57.63,1965,5.54,322.00,£31.40
Mexico City,44.00,2555.00,£0.45,28.90%,76.40,82.78,2137,6.46,192.00,£41.99
